"Address","Adress"
"Billing Address","Faktureringsadress"
"Checkout as Guest","Fortsätt som gäst"
"City","Postort"
"Company","Företag"
"Confirm Password","Bekräfta lösenord"
"Continue","Fortsätt"
"Country","Land"
"Create account and place order","Skapa konto och lägg beställning"
"Email Address","E-postadress"
"First Name","Förnamn"
"Forgot your password?","Glömt bort lösenordet?"
"Grand Total","Totalsumma"
"Grand Total Excl. Tax","Totalsumma exkl. moms"
"Grand Total Incl. Tax","Totalsumma inkl. moms"
"Last Name","Efternamn"
"Login","Logga in"
"Log in and place order","Logga in och lägg beställning"
"Order without account","Genomför beställning utan konto"
"Password","Lösenord"
"Payment Method","Betalsätt"
"Place Order","Lägg order"
"Price","Pris"
"Product Name","Produkt"
"Qty","Antal"
"Register","Registrera dig"
"Ship to this address","Leverera till den här adressen"
"Ship to different address","Leverera till en annan adress"
"Shipping Address","Leveransadress"
"Shipping Method","Leveranssätt"
"Sorry, no quotes are available for this order at this time.","Inga leveranssätt finns att välja på."
"State/Province","Stat/provins"
"Subtotal","Delsumma"
"Tax","Moms"
"Telephone","Telefon"
"Use this address for billing","Använd den här adressen för betalning"
"Use Billing Address","Använd faktureringsadress"
"Zip/Postal Code","Postnummer"
"* Required Fields","* Obligatoriska fält"
"Less Friction Checkout", "One Page Checkout"
"Your Cart", "Din Varukorg"
